Name,Affinity[µM],MW,logP,nrotb,HBA,HBD,PSA,n_atoms,Smiles
9880,0.014,416.938,4.6076,3,4,0,60.44,29,CC(=O)O[C@@]1(CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2C=C(C2=CC(=O)[C@H]3[C@@H]([C@]12C)C3)Cl)C(=O)C
44276347,0.022,324.341,4.6302,3,2,2,44.89,23,CC(C[C@H]1CCNc2c1cc1c(c2)[nH]c(=O)cc1C(F)(F)F)C
C02,0.156811158561534,298.419,3.4925,0,2,1,37.3,22,C#C[C@]1(O)CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2CCC2=CC(=O)CC[C@H]12
155554274,0.011,300.295,4.7661,1,2,2,24.06,21,F[C@H]1Nc2cc3NC(C)(C)CCc3cc2C(=C1)C(F)(F)F
49862908,0.012,519.493,4.01848,4,8,0,116.16,36,N#Cc1ccc(cc1C(F)(F)F)N1C(=O)[C@@H]2[C@H](C1=O)[C@@]1(O[C@@]2(C)CN(C1)S(=O)(=O)c1ccccc1)C
10238275,0.00718,438.216,1.64568,1,6,1,90.63,24,N#Cc1ccc(cc1I)N1C(=O)[C@H]2[C@@H](C1=O)[C@]1(O[C@]2(C)C[C@@H]1O)C
49863261,3.6,465.379,2.04388,3,7,0,133.97,33,N#Cc1ccc(cc1C(F)(F)F)N1C(=O)[C@@H]2[C@H](C1=O)[C@@]1(O[C@@]2(C)C(=O)[N+](C1=O)([O-])C(C)C)C
44397101,0.18,436.384,3.04668,5,8,0,93.95,31,N#Cc1ccc(cc1C(F)(F)F)N1C(=O)[C@H]2N(C1=O)[C@H]1C[C@@H]2N(C1)C(=O)OC(C)(C)C
A19,35.3322929330779,288.424,3.8792,0,2,1,37.3,21,O[C@H]1CC[C@]2(C(=CC[C@@H]3[C@@H]2CC[C@]2([C@H]3CCC2=O)C)C1)C
E01,90.9670564680292,222.239,3.46,1,1,0,30.21,17,O=c1cc(oc2c1cccc2)c1ccccc1
25016977,0.61,307.3,3.1047,1,3,1,72.3,23,COc1ccc2c(c1)c1ccc3c(c1c(=O)o2)c(C)cc(=O)[nH]3
H05,57.6583394660294,309.187,4.8983,4,2,0,18.46,20,COc1ccc(cc1)C(=C(Cl)Cl)c1ccc(cc1)OC
10663608,0.082,322.325,4.6007,1,2,2,44.89,23,CC1=CC(C)(C)Nc2c1cc1c(c2C)[nH]c(=O)cc1C(F)(F)F
122640134,0.204,434.714,3.86438,5,5,2,76.36,26,N#Cc1ccc(cc1Cl)NC(=O)[C@](CN1CCc2c1ccc(c2)Br)(O)C
11015162,0.439,413.483,7.1372,2,3,1,30.49,31,COc1ccccc1/C=C/1\Oc2ccc(cc2-c2c1c1C(=CC(Nc1cc2)(C)C)C)F
16090310,0.064,312.33,4.1733,6,2,1,36.1,22,CCCN(c1ccc2c(c1)c(cc(=O)[nH]2)C(F)(F)F)CCC
5833,0.0394,416.573,4.8523,2,5,0,85.74,29,CC(=O)S[C@@H]1CC2=CC(=O)CC[C@@]2([C@@H]2[C@@H]1[C@@H]1CC[C@]3([C@]1(CC2)C)CCC(=O)O3)C
A16,47.8835671802432,290.44,3.9591,0,2,1,37.3,21,O[C@@H]1CC[C@]2([C@H](C1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CCC2=O)C)C
11560224,0.0015,392.22,4.4779,6,2,1,36.1,26,O=c1cc(c2c([nH]1)ccc(c2)N(CC(F)(F)F)CC(F)(F)F)C(F)(F)F
